Price,Close,High,Low,Open,Volume
Ticker,SMGR.JK,SMGR.JK,SMGR.JK,SMGR.JK,SMGR.JK
Date,,,,,
2024-03-26,5729.69482421875,5754.180699535925,5631.751322950054,5754.180699535925,8430900
2024-03-27,5803.15234375,5827.638218618144,5680.722969409282,5729.694719145569,9001800
2024-03-28,5778.66650390625,5827.6382539393535,5705.208878856594,5803.152378922801,8128800
2024-04-01,5754.1806640625,5778.666539228723,5582.779537898936,5778.666539228723,7557200
2024-04-02,5656.2373046875,5705.209056243236,5607.265553131764,5705.209056243236,7609100
2024-04-03,5582.77978515625,5656.237413908306,5558.293908905564,5631.75153765762,5994400
2024-04-04,5582.77978515625,5607.265661406936,5558.293908905564,5582.77978515625,4941600
2024-04-05,5533.80810546875,5582.779858614491,5533.80810546875,5582.779858614491,5768800
2024-04-16,5460.35009765625,5533.807722288397,5386.892473024103,5533.807722288397,16305200
2024-04-17,5239.9775390625,5460.350426219334,5239.9775390625,5435.864549868575,11729200
2024-04-18,5239.9775390625,5313.435168114778,5191.005786360981,5239.9775390625,7719100
2024-04-19,4970.6328125,5264.463323583744,4970.6328125,5239.977447660099,16105100
2024-04-22,4921.6611328125,5093.062266791045,4877.586555503732,4995.118761660448,16088400
2024-04-23,4779.64306640625,4995.118778416368,4750.260014768506,4921.661149322009,23190300
2024-04-24,4701.2880859375,4877.586389160157,4681.699385579427,4799.231587727864,18681800
2024-04-25,4701.2880859375,4779.642887369791,4652.316335042317,4701.2880859375,18056300
2024-04-26,4485.8125,4720.87691048035,4485.8125,4701.288209606987,22366700
2024-04-29,4524.98974609375,4642.52194729099,4505.40104589421,4524.98974609375,21495900
2024-04-30,4573.96142578125,4593.55012567753,4524.989676040551,4524.989676040551,24647500
2024-05-02,4642.52197265625,4652.316322809534,4554.372821276701,4583.755871736551,20484200
2024-05-03,4534.7841796875,4652.316383048731,4534.7841796875,4642.522032768628,13946100
2024-05-06,4603.3447265625,4613.139077044548,4534.784273188165,4573.961675116357,13406400
2024-05-07,4603.3447265625,4642.522128490691,4593.550376080452,4603.3447265625,8058800
2024-05-08,4387.869140625,4613.139208112444,4358.48608834403,4613.139208112444,22529600
2024-05-13,4289.92529296875,4397.663142792167,4260.542243016909,4378.074442824272,30089700
2024-05-14,4133.2158203125,4299.719775159212,4123.4214700274,4299.719775159212,35689600
2024-05-15,4035.272216796875,4123.421367163797,3976.50611655226,4094.03831704149,39417100
2024-05-16,4120.0,4340.0,4040.0,4070.0,47082600
2024-05-17,4060.0,4140.0,4060.0,4100.0,32411400
2024-05-20,3990.0,4040.0,3970.0,4000.0,28480300
2024-05-21,3990.0,4080.0,3980.0,4000.0,20008900
2024-05-22,3950.0,4030.0,3900.0,3980.0,21807200
2024-05-27,3760.0,3990.0,3760.0,3910.0,42613300
2024-05-28,3780.0,3860.0,3760.0,3780.0,20602200
2024-05-29,3760.0,3790.0,3710.0,3780.0,18878100
2024-05-30,3690.0,3790.0,3670.0,3760.0,43930000
2024-05-31,3490.0,3650.0,3490.0,3630.0,290449700
2024-06-03,3550.0,3590.0,3410.0,3510.0,70088100
2024-06-04,3830.0,4060.0,3530.0,3560.0,142238100
2024-06-05,3860.0,3990.0,3770.0,3900.0,95511400
2024-06-06,3950.0,4040.0,3880.0,3890.0,62672100
2024-06-07,4010.0,4120.0,3960.0,4000.0,58719100
2024-06-10,4100.0,4150.0,4020.0,4050.0,37510400
2024-06-11,3880.0,4150.0,3870.0,4100.0,89001000
2024-06-12,3610.0,3900.0,3570.0,3890.0,69083400
2024-06-13,3660.0,3790.0,3620.0,3640.0,51881200
2024-06-14,3440.0,3700.0,3420.0,3670.0,38426200
2024-06-19,3510.0,3580.0,3450.0,3480.0,66326000
2024-06-20,3500.0,3630.0,3500.0,3550.0,41238000
2024-06-21,3700.0,3720.0,3430.0,3500.0,64506600
2024-06-24,3690.0,3780.0,3680.0,3720.0,35053400
2024-06-25,3660.0,3710.0,3580.0,3700.0,35154300
2024-06-26,3630.0,3730.0,3620.0,3660.0,18688000
2024-06-27,3600.0,3680.0,3550.0,3650.0,21756600
2024-06-28,3730.0,3780.0,3600.0,3600.0,46235100
2024-07-01,3920.0,3930.0,3780.0,3790.0,37021100
2024-07-02,3960.0,3990.0,3850.0,3950.0,36443900
2024-07-03,4040.0,4050.0,3960.0,3990.0,39198700
2024-07-04,3940.0,4100.0,3930.0,4050.0,33469800
2024-07-05,3950.0,4000.0,3900.0,3940.0,12150300
2024-07-08,4200.0,4220.0,3950.0,3950.0,41513500
2024-07-09,4180.0,4240.0,4110.0,4220.0,36592700
2024-07-10,4050.0,4450.0,4050.0,4180.0,105896800
2024-07-11,4010.0,4150.0,3980.0,4000.0,52636300
2024-07-12,4090.0,4120.0,4030.0,4040.0,20073800
2024-07-15,4060.0,4170.0,4030.0,4110.0,23445300
2024-07-16,4060.0,4120.0,4050.0,4090.0,16038800
2024-07-17,4070.0,4120.0,4050.0,4120.0,13397200
2024-07-18,4080.0,4160.0,4070.0,4070.0,21104000
2024-07-19,4060.0,4110.0,4040.0,4090.0,15604900
2024-07-22,4120.0,4160.0,4060.0,4090.0,13226200
2024-07-23,4060.0,4150.0,4060.0,4130.0,15155900
2024-07-24,4060.0,4100.0,4040.0,4080.0,7936900
2024-07-25,3980.0,4080.0,3900.0,4050.0,31301800
2024-07-26,4010.0,4070.0,3980.0,3990.0,8829600
2024-07-29,3990.0,4080.0,3980.0,4030.0,12987500
2024-07-30,3900.0,4020.0,3900.0,4000.0,10885100
2024-07-31,3910.0,3940.0,3880.0,3910.0,9188200
2024-08-01,3850.0,3880.0,3730.0,3780.0,30671900
2024-08-02,3860.0,3950.0,3820.0,3850.0,14597400
2024-08-05,3780.0,3860.0,3750.0,3860.0,18686600
2024-08-06,3790.0,3890.0,3770.0,3820.0,18645000
2024-08-07,3780.0,3850.0,3780.0,3800.0,14092800
2024-08-08,3750.0,3800.0,3740.0,3780.0,14213100
2024-08-09,3770.0,3840.0,3770.0,3770.0,11419400
2024-08-12,3840.0,3840.0,3780.0,3780.0,9331500
