Price,Close,High,Low,Open,Volume
Ticker,EXCL.JK,EXCL.JK,EXCL.JK,EXCL.JK,EXCL.JK
Date,,,,,
2024-03-26,2344.97900390625,2403.8487696946913,2344.97900390625,2403.8487696946913,17637200
2024-03-27,2237.05126953125,2374.414066783169,2158.5582425301536,2374.414066783169,90965400
2024-03-28,2217.427978515625,2246.862863186186,2197.804722068584,2237.051234962666,16894400
2024-04-01,2227.239501953125,2256.674385238849,2178.181363143585,2217.4278741912167,44328600
2024-04-02,2256.67431640625,2276.297571331522,2207.6161790930705,2246.862688943614,26378000
2024-04-03,2227.239501953125,2276.297640762665,2227.239501953125,2266.486013000757,13027600
2024-04-04,2295.9208984375,2325.3557817508013,2246.862759581998,2256.674387353098,14852100
2024-04-05,2256.67431640625,2325.355708644701,2256.67431640625,2315.544081182065,12443700
2024-04-16,2227.239501953125,2256.674385238849,2178.181363143585,2256.674385238849,16666400
2024-04-17,2080.065185546875,2246.8628655199736,2070.253557313163,2227.23960905255,22034500
2024-04-18,2148.74658203125,2207.616351401969,2080.065184432078,2080.065184432078,21685400
2024-04-19,2148.74658203125,2178.1814667166095,2040.8186715182649,2129.1233255743437,41032300
2024-04-22,2256.67431640625,2286.1091987941577,2178.181296705163,2187.9929241677987,33345400
2024-04-23,2344.97900390625,2374.4138868004707,2246.862727592181,2276.297610486402,26506900
2024-04-24,2335.16748046875,2394.0372488839284,2295.920968191964,2344.9791085379466,24318700
2024-04-25,2335.16748046875,2423.4721330915177,2315.5442243303573,2364.602364676339,26956000
2024-04-26,2335.16748046875,2354.7907366071427,2295.920968191964,2335.16748046875,12354600
2024-04-29,2394.037109375,2462.7185018570694,2286.109206903176,2354.790599385246,53577000
2024-04-30,2423.47216796875,2472.530309020749,2384.2256551271507,2423.47216796875,54566800
2024-05-02,2374.4140625,2423.4722042871904,2344.979177427686,2423.4722042871904,20110600
2024-05-03,2433.28369140625,2452.906946982107,2384.225552466608,2384.225552466608,27834200
2024-05-06,2364.602294921875,2462.718572719463,2364.602294921875,2452.9069449397043,19427500
2024-05-07,2384.2255859375,2423.472097640175,2354.7907021604938,2374.4139580118313,8681600
2024-05-08,2433.28369140625,2452.906946982107,2364.602296890751,2384.225552466608,36134700
2024-05-13,2560.8349609375,2600.0814737488026,2443.095422503592,2443.095422503592,66807800
2024-05-14,2551.023193359375,2600.081331693209,2482.341799692007,2570.6464486929085,29590100
2024-05-15,2531.39990234375,2570.6464124576064,2462.718509644501,2551.0231574006784,30721600
2024-05-16,2380.0,2540.0,2350.0,2540.0,56882300
2024-05-17,2440.0,2460.0,2380.0,2380.0,32066800
2024-05-20,2460.0,2500.0,2430.0,2450.0,41465900
2024-05-21,2470.0,2550.0,2460.0,2480.0,32093400
2024-05-22,2470.0,2510.0,2440.0,2470.0,15021700
2024-05-27,2460.0,2500.0,2420.0,2460.0,14872500
2024-05-28,2440.0,2520.0,2420.0,2470.0,23942800
2024-05-29,2410.0,2450.0,2390.0,2440.0,12753300
2024-05-30,2430.0,2450.0,2360.0,2420.0,12911700
2024-05-31,2310.0,2400.0,2260.0,2390.0,46339600
2024-06-03,2320.0,2360.0,2270.0,2300.0,8246100
2024-06-04,2290.0,2370.0,2290.0,2320.0,20388800
2024-06-05,2310.0,2390.0,2300.0,2300.0,26625800
2024-06-06,2250.0,2330.0,2240.0,2320.0,16631700
2024-06-07,2230.0,2280.0,2220.0,2270.0,13475400
2024-06-10,2230.0,2250.0,2200.0,2240.0,6153700
2024-06-11,2220.0,2250.0,2180.0,2220.0,7662700
2024-06-12,2180.0,2240.0,2150.0,2210.0,11288500
2024-06-13,2160.0,2210.0,2140.0,2190.0,5778900
2024-06-14,2080.0,2180.0,2070.0,2150.0,17354900
2024-06-19,2130.0,2160.0,2070.0,2080.0,21624600
2024-06-20,2140.0,2180.0,2120.0,2140.0,20261800
2024-06-21,2180.0,2210.0,2120.0,2140.0,22542800
2024-06-24,2160.0,2200.0,2150.0,2180.0,11920500
2024-06-25,2160.0,2230.0,2130.0,2170.0,24987800
2024-06-26,2180.0,2220.0,2170.0,2180.0,15587200
2024-06-27,2200.0,2220.0,2170.0,2190.0,13170500
2024-06-28,2160.0,2200.0,2150.0,2190.0,23093800
2024-07-01,2180.0,2200.0,2150.0,2160.0,17656000
2024-07-02,2190.0,2220.0,2160.0,2170.0,28766500
2024-07-03,2170.0,2230.0,2160.0,2200.0,14716100
2024-07-04,2210.0,2210.0,2150.0,2180.0,17834000
2024-07-05,2180.0,2220.0,2150.0,2210.0,15812300
2024-07-08,2210.0,2210.0,2160.0,2190.0,16997900
2024-07-09,2270.0,2290.0,2210.0,2220.0,18838000
2024-07-10,2270.0,2290.0,2240.0,2270.0,17274900
2024-07-11,2270.0,2300.0,2240.0,2280.0,14115400
2024-07-12,2280.0,2340.0,2230.0,2290.0,26838800
2024-07-15,2240.0,2300.0,2240.0,2290.0,12011400
2024-07-16,2240.0,2240.0,2200.0,2240.0,15377100
2024-07-17,2240.0,2260.0,2220.0,2250.0,14377600
2024-07-18,2240.0,2250.0,2210.0,2240.0,9450200
2024-07-19,2180.0,2230.0,2160.0,2220.0,23923900
2024-07-22,2200.0,2220.0,2180.0,2200.0,14478300
2024-07-23,2250.0,2250.0,2200.0,2210.0,20722100
2024-07-24,2210.0,2260.0,2200.0,2250.0,8864100
2024-07-25,2190.0,2210.0,2180.0,2200.0,10370600
2024-07-26,2180.0,2200.0,2170.0,2200.0,13159800
2024-07-29,2170.0,2190.0,2160.0,2170.0,11877000
2024-07-30,2170.0,2190.0,2150.0,2190.0,9632600
2024-07-31,2170.0,2200.0,2140.0,2180.0,13824100
2024-08-01,2170.0,2200.0,2150.0,2160.0,9289100
2024-08-02,2170.0,2190.0,2140.0,2170.0,17463200
2024-08-05,2080.0,2170.0,2080.0,2150.0,34132200
2024-08-06,2190.0,2200.0,2100.0,2120.0,27207800
2024-08-07,2170.0,2240.0,2160.0,2230.0,22667000
2024-08-08,2140.0,2200.0,2130.0,2180.0,13277100
2024-08-09,2160.0,2180.0,2150.0,2150.0,10220500
2024-08-12,2180.0,2200.0,2160.0,2160.0,14234700
2024-08-13,2190.0,2200.0,2170.0,2190.0,14197800
2024-08-14,2260.0,2260.0,2190.0,2190.0,31351400
2024-08-15,2220.0,2280.0,2210.0,2270.0,18137500
2024-08-16,2240.0,2270.0,2220.0,2260.0,22212100
2024-08-19,2240.0,2280.0,2240.0,2240.0,17094500
2024-08-20,2320.0,2330.0,2250.0,2260.0,34519400
2024-08-21,2290.0,2340.0,2280.0,2320.0,13335800
2024-08-22,2210.0,2280.0,2200.0,2270.0,36594100
2024-08-23,2260.0,2260.0,2210.0,2210.0,19262900
2024-08-26,2230.0,2270.0,2200.0,2260.0,24896500
2024-08-27,2240.0,2240.0,2200.0,2230.0,13980100
2024-08-28,2240.0,2250.0,2220.0,2250.0,18115400
2024-08-29,2230.0,2250.0,2220.0,2230.0,20368100
2024-08-30,2230.0,2260.0,2210.0,2230.0,24368900
2024-09-02,2270.0,2320.0,2240.0,2250.0,37685800
2024-09-03,2270.0,2280.0,2240.0,2270.0,20055400
2024-09-04,2230.0,2270.0,2220.0,2240.0,34779700
2024-09-05,2360.0,2380.0,2240.0,2250.0,77986300
2024-09-06,2330.0,2370.0,2300.0,2360.0,17716300
2024-09-09,2250.0,2320.0,2240.0,2320.0,46668300
2024-09-10,2270.0,2300.0,2240.0,2260.0,22336200
2024-09-11,2270.0,2320.0,2250.0,2270.0,27376800
2024-09-12,2290.0,2310.0,2260.0,2280.0,18383100
2024-09-13,2320.0,2330.0,2290.0,2290.0,23420500
2024-09-17,2290.0,2340.0,2290.0,2330.0,13473900
2024-09-18,2280.0,2320.0,2270.0,2300.0,27383100
2024-09-19,2300.0,2320.0,2270.0,2290.0,30650500
2024-09-20,2280.0,2310.0,2270.0,2300.0,15215000
2024-09-23,2300.0,2300.0,2260.0,2270.0,19014500
2024-09-24,2290.0,2320.0,2270.0,2320.0,14693100
2024-09-25,2310.0,2320.0,2270.0,2290.0,27480300
2024-09-26,2350.0,2370.0,2280.0,2310.0,62261500
2024-09-27,2310.0,2370.0,2310.0,2350.0,18629500
2024-09-30,2290.0,2320.0,2270.0,2310.0,19119000
2024-10-01,2260.0,2310.0,2230.0,2300.0,46699700
2024-10-02,2200.0,2270.0,2170.0,2260.0,70390800
2024-10-03,2260.0,2280.0,2200.0,2210.0,49199900
2024-10-04,2250.0,2300.0,2230.0,2270.0,20383800
2024-10-07,2260.0,2320.0,2260.0,2260.0,22665500
2024-10-08,2270.0,2300.0,2250.0,2260.0,33185900
2024-10-09,2300.0,2350.0,2260.0,2300.0,76992700
2024-10-10,2320.0,2340.0,2290.0,2310.0,31771900
2024-10-11,2310.0,2340.0,2290.0,2340.0,22785400
2024-10-14,2290.0,2330.0,2270.0,2310.0,13767700
2024-10-15,2290.0,2320.0,2290.0,2290.0,17391400
2024-10-16,2300.0,2300.0,2280.0,2300.0,6553300
2024-10-17,2270.0,2310.0,2270.0,2300.0,7896800
2024-10-18,2290.0,2300.0,2250.0,2270.0,17640200
2024-10-21,2300.0,2310.0,2280.0,2300.0,11981700
2024-10-22,2280.0,2310.0,2270.0,2300.0,9414300
2024-10-23,2260.0,2300.0,2240.0,2280.0,32648400
2024-10-24,2260.0,2300.0,2250.0,2270.0,17145200
2024-10-25,2270.0,2290.0,2260.0,2270.0,10612200
2024-10-28,2250.0,2300.0,2250.0,2280.0,23161100
2024-10-29,2280.0,2290.0,2250.0,2290.0,10744800
2024-10-30,2260.0,2300.0,2260.0,2290.0,27167000
2024-10-31,2250.0,2280.0,2250.0,2260.0,19731800
2024-11-01,2250.0,2290.0,2230.0,2250.0,30958300
2024-11-04,2240.0,2260.0,2230.0,2250.0,9890900
2024-11-05,2230.0,2270.0,2200.0,2250.0,38293800
2024-11-06,2220.0,2260.0,2220.0,2250.0,13521200
2024-11-07,2210.0,2240.0,2200.0,2220.0,29866000
2024-11-08,2210.0,2240.0,2210.0,2240.0,14025700
2024-11-11,2140.0,2240.0,2130.0,2210.0,55011300
2024-11-12,2130.0,2190.0,2130.0,2140.0,42836700
2024-11-13,2150.0,2200.0,2120.0,2130.0,35064900
2024-11-14,2160.0,2160.0,2140.0,2150.0,10741600
2024-11-15,2140.0,2190.0,2130.0,2150.0,29011300
2024-11-18,2150.0,2180.0,2130.0,2140.0,18665300
2024-11-19,2180.0,2220.0,2150.0,2150.0,18243300
2024-11-20,2170.0,2210.0,2160.0,2180.0,7781800
2024-11-21,2210.0,2240.0,2170.0,2200.0,25595800
2024-11-22,2180.0,2230.0,2170.0,2210.0,14758500
2024-11-25,2190.0,2220.0,2190.0,2200.0,10402600
2024-11-26,2180.0,2210.0,2170.0,2200.0,12581900
2024-11-28,2180.0,2210.0,2160.0,2190.0,23408200
2024-11-29,2220.0,2250.0,2180.0,2180.0,16408800
2024-12-02,2230.0,2250.0,2220.0,2220.0,4443100
2024-12-03,2240.0,2270.0,2230.0,2230.0,8521400
2024-12-04,2230.0,2260.0,2230.0,2240.0,19841100
2024-12-05,2250.0,2280.0,2230.0,2230.0,19719700
2024-12-06,2310.0,2320.0,2250.0,2260.0,31275700
2024-12-09,2300.0,2350.0,2300.0,2310.0,21671000
2024-12-10,2290.0,2330.0,2270.0,2320.0,39344600
2024-12-11,2240.0,2310.0,2220.0,2290.0,150736700
2024-12-12,2260.0,2290.0,2220.0,2240.0,69544600
2024-12-13,2270.0,2300.0,2260.0,2280.0,15409700
2024-12-16,2270.0,2300.0,2250.0,2270.0,36978500
2024-12-17,2280.0,2300.0,2270.0,2270.0,15176300
2024-12-18,2260.0,2300.0,2250.0,2280.0,44342600
2024-12-19,2240.0,2260.0,2240.0,2260.0,14885600
2024-12-20,2280.0,2290.0,2240.0,2260.0,32850700
2024-12-23,2280.0,2310.0,2270.0,2280.0,12274000
2024-12-24,2260.0,2300.0,2260.0,2290.0,8138800
2024-12-27,2250.0,2290.0,2230.0,2290.0,14920000
2024-12-30,2250.0,2250.0,2220.0,2250.0,11078300
2025-01-02,2250.0,2260.0,2230.0,2240.0,3579000
2025-01-03,2230.0,2250.0,2220.0,2250.0,10856200
2025-01-06,2240.0,2280.0,2230.0,2230.0,27702500
2025-01-07,2230.0,2270.0,2220.0,2240.0,14638000
2025-01-08,2250.0,2270.0,2230.0,2240.0,14502800
2025-01-09,2230.0,2260.0,2220.0,2250.0,11661300
2025-01-10,2230.0,2250.0,2230.0,2230.0,6550900
2025-01-13,2270.0,2290.0,2230.0,2230.0,24819600
2025-01-14,2250.0,2270.0,2240.0,2270.0,2570500
2025-01-15,2270.0,2270.0,2250.0,2250.0,5603600
2025-01-16,2270.0,2280.0,2250.0,2280.0,4455400
2025-01-17,2270.0,2280.0,2240.0,2280.0,3647500
2025-01-20,2250.0,2270.0,2250.0,2270.0,2890500
2025-01-21,2270.0,2280.0,2250.0,2260.0,5804000
2025-01-22,2280.0,2300.0,2260.0,2270.0,28523100
2025-01-23,2310.0,2310.0,2280.0,2290.0,11541500
2025-01-24,2290.0,2320.0,2280.0,2320.0,12541000
2025-01-30,2270.0,2300.0,2260.0,2290.0,26126300
2025-01-31,2270.0,2300.0,2260.0,2270.0,30369600
2025-02-03,2290.0,2300.0,2260.0,2270.0,14236800
2025-02-04,2290.0,2300.0,2270.0,2300.0,9073700
2025-02-05,2270.0,2290.0,2260.0,2290.0,12121900
2025-02-06,2290.0,2300.0,2270.0,2290.0,11868300
2025-02-07,2290.0,2300.0,2270.0,2290.0,7059800
2025-02-10,2280.0,2300.0,2280.0,2300.0,8736900
2025-02-11,2270.0,2300.0,2260.0,2290.0,30824600
2025-02-12,2270.0,2290.0,2270.0,2280.0,8503500
2025-02-13,2280.0,2300.0,2270.0,2280.0,24839900
2025-02-14,2280.0,2290.0,2270.0,2290.0,8179100
2025-02-17,2270.0,2290.0,2270.0,2280.0,13377400
2025-02-18,2270.0,2310.0,2260.0,2270.0,62641900
2025-02-19,2260.0,2290.0,2260.0,2290.0,17799900
2025-02-20,2270.0,2280.0,2250.0,2270.0,5153400
2025-02-21,2250.0,2270.0,2250.0,2270.0,7135500
2025-02-24,2260.0,2270.0,2250.0,2260.0,4867900
2025-02-25,2240.0,2260.0,2240.0,2260.0,11451300
2025-02-26,2240.0,2250.0,2230.0,2240.0,11317700
2025-02-27,2240.0,2280.0,2230.0,2240.0,34585600
2025-02-28,2210.0,2260.0,2210.0,2240.0,21449600
2025-03-03,2220.0,2270.0,2220.0,2220.0,34418600
2025-03-04,2220.0,2260.0,2210.0,2230.0,38207000
2025-03-05,2270.0,2280.0,2220.0,2220.0,34618800
2025-03-06,2250.0,2280.0,2250.0,2280.0,7445700
2025-03-07,2250.0,2270.0,2250.0,2260.0,3856800
2025-03-10,2270.0,2280.0,2250.0,2250.0,13384800
2025-03-11,2260.0,2290.0,2250.0,2270.0,35330000
2025-03-12,2270.0,2290.0,2260.0,2270.0,15948300
2025-03-13,2250.0,2270.0,2250.0,2270.0,5183800
2025-03-14,2260.0,2280.0,2240.0,2250.0,18134800
2025-03-17,2270.0,2270.0,2250.0,2260.0,10858300
2025-03-18,2250.0,2290.0,2240.0,2270.0,36281400
2025-03-19,2270.0,2290.0,2240.0,2260.0,33064700
2025-03-20,2270.0,2280.0,2260.0,2270.0,7433800
2025-03-21,2260.0,2280.0,2250.0,2260.0,13786500
2025-03-24,2260.0,2290.0,2250.0,2260.0,38485800
2025-03-25,2230.0,2280.0,2230.0,2270.0,47250500
